Site ID,Site Name,Room ID,Interior/Exterior,Location,Room,Structure,Above/Below Five Feet,K-2nd Grade,Substrate,Square Feet,Square Feet Parsed,Filename,Site (parsed from filename)
835,Bridlemile,A,Exterior,North side of school,,Downspout,Above,Yes,Metal,20,20,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,B,Exterior,North 47th street stairs,,Hand rail,Below,Yes,Metal,20,20,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,C,Exterior,Northeast door,,Metal perimeter groud by doors,Below,Yes,Metal,5,5,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,D,Exterior,Northeast corner of north wing,,Downspout,Above and below,Yes,Metal,20,20,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,E,Exterior,"North 47th street, northeast stairs",,Hand rail,Below,Yes,Metal,20,20,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,F,Exterior,East side of north wing,,"Doors, frames, and one onning",Above and below,Yes,Wood and metal,190,190,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,G,Exterior,Southeast corner of north wing,,Downspout,Above and below,Yes,Metal,20,20,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,H,Exterior,Southeast corner of north wing,,Doors and doorframes,Below,Yes,Wood and metal,60,60,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,I,Exterior,South side of north wing,,Downspout,Below,Yes,Metal,40,40,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,J,Exterior,South side of north wing,,Doors and doorframes,Below,Yes,Wood and metal,135,135,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,K,Exterior,Play area blackop and cover,,"Asphalt, basketball hoops, and covering",Above and below,Yes,Wood and metal,2000,2000,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,L,Exterior,East side of south wing,,Downspout,Below,Yes,Metal,40,40,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,M,Exterior,East side of south wing,,Door,Below,Yes,Wood and metal,40,40,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,N,Exterior,South side of south wing,,Downspout,Below,Yes,Metal,40,40,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,O,Exterior,South side of south wing,,Door,Below,Yes,Wood and metal,40,40,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,P,Exterior,South side of south wing,,Hand rail,Below,Yes,Metal,10,10,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,Q,Exterior,South side of south wing,,Crawlspace hatch cover,Below,Yes,Metal,5,5,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,R,Exterior,West side of south wing,,Exterior wall,Below,Yes,Wood,250,250,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,S,Exterior,West side of south wing,,Doors and doorframes,Below,Yes,Wood and metal,15,15,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,T,Exterior,Northwest corner of south wing,,Hand rail,Below,Yes,Metal,20,20,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,U,Exterior,West side of central corridor,,Doors and doorframes,Below,Yes,Wood and metal,135,135,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,V,Exterior,Main entrance commons,,Flagpole,Above,Yes,Metal,50,50,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,W,Exterior,"Northwest portable building, all sides",,Wall,Below,No,Metal,30,30,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,X,Exterior,Northwest portable,,Doors and doorframes,Below,No,Wood and metal,60,60,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,Y,Exterior,Northwest portable,,Hand rail,Below,No,Metal,20,20,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,Z,Interior,Northwest portable,,Cabinets,Below,No,Wood,30,30,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,AA,Interior,Classroom,29,Varnished door,Below,Yes,Wood,45,45,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,AB,Interior,Classroom,29,Varnished cabinets,Below,Yes,Wood,20,20,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,AC,Interior,Classroom,28,"Varnished door, walls, and cabinets",Below,Yes,Wood,160,160,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,AD,Interior,Classroom,30,"Varnished door, walls, and cabinets",Below,Yes,Wood,100,100,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,AE,Interior,Classroom,27,"Varnished door, walls, and cabinets",Below,Yes,Wood,160,160,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,AF,Interior,Classroom,31,"Varnished door, walls",Below,Yes,Wood,100,100,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,AG,Interior,Storage,24,Ceiling paint,Above,No,Plaster,5,5,Condition Assessment Table Bridlemile.xlsx,Bridlemile
835,Bridlemile,AH,Interior,Storage,24,Painted Ladder,Below,No,Metal,20,20,Condition Assessment Table Bridlemile.xlsx,Bridlemile
